label,reviews,,
2,3년 전이라 기억도 잘 안난다. 아마 소개받아서 만났을 거야.,,
2,반장인 나보다 부반장인 친구가 반 아이들을 더 잘 이끈다는 말을 들어서 속상해. 부반장보다 반장인 내가 반을 더 잘 이끈다는 말을 듣고 싶어.,,
2,올라갔다가 내려갔다가 왔다갔다 했다가. 그랬네요.,,
2,합격할 거라고 생각했던 회사에 떨어지고 나니까 너무 실망스러워서 밥맛도 없어.,,
2,나 면접 또 떨어졌어.,,
2,내신 등급이 조금만 더 높았으면 원하는 곳에 갈 수 있었을 텐데 너무 아쉬워. 부모님과의 약속을 지켜주지 못해서 슬퍼.,,
2,유산을 두고 자식들이 매일같이 말싸움이나 하고 있는 걸 보니 우울해. 어떻게 하면 가정의 평화를 되찾을 수 있을지 고민이야.,,
2,동업자가 사업자금을 다 빼돌리고 잠적했어. 돈은 바닥나고 앞으로 어떻게 살아야 할지 막막해. 금전적인 상황이 나를 더 힘들게 해.,,
2,집에 들어가면 나를 항상 반겨주던 해피가 없어서 너무 허전해. 해피가 너무 보고싶어!,,
2,나는 내가 왜 태어났는지 의문이 들어. 요즘 하는 일이 안 되고 쓸모없는 인간이라는 생각이 들어.,,
2,헐 나 1등이야.,,
2,"우리 아빠가 또 다쳤어, 어제.",,
2,아. 그러고 싶은데 날 받아줄 회사가 있을까?,,
2,일이 너무 진전이 안되고 있어. 열심히 하려고 애는 쓰는데 생각처럼 안 돼.,,
2,다음에는 하프 마라톤을 준비할 예정이야.,,
2,일이 너무 많아서 하루종일 앉아서 일하다보니까 허리가 여기저기 쑤셔.,,
2,갇힌 것 같아! 어떡하면 좋지?,,
2,요즘따라 눈물이 나. 가족들이 사이가 안좋아.,,
2,나이가 들고 나니 아내와 병원 찾는 날이 잦아졌어. 이러다 진짜 큰 병에 걸리는 게 아닌지 몰라. 슬프네.,,
2,"응. 권태기가 와서 생각할 시간을 가자고 하긴 했는데, 아무래도 다른 사람이 생긴 거 같애.",,
2,집에도 못 가고 밖에서 이러고 있어.,,
2,"이제 두 달 지났는데, 무기력해.",,
2,무기력하지 않아. 그냥 조금 우울할 뿐이야.,,
2,나 요즘 정말 우울해. 코로나 일구 때문에 올해 친구들을 한 번도 못 만났거든.,,
2,"밤새 의식이 없길래 병원에 입원을 시키고, 좀 괜찮아지나 싶더니 갑자기 무지개 다리를 건넜어.",,
2,부모님도 요즘 힘들다고 나한테 하소연 하셨어 거기다 어떻게 말씀을 드려.,,
